NTA Name,NTA Code,Borough Name,Borough CD,Total Population,% Hispanic Latino,% White,% Black/African American
1. Claremont-Bathgate,QN54,Queens,409.0,65068,,,
2. Eastchester-Edenwald-Baychester,QN55,Queens,410.0,82931,,,
3. Bedford Park-Fordham North,QN56,Queens,410.0,24511,,,
4. Belmont,QN57,Queens,410.0,29219,,,
5. Bronxdale,QN60,Queens,409.0,23166,,,
6. West Farms-Bronx River,QN61,Queens,412.0,53932,,,
7. Soundview-Castle Hill-Clason Point-Harding Park,QN62,Queens,407.0,20269,,,
8. Pelham Bay-Country Club-City Island,QN63,Queens,402.0,43841,,,
9. Co-op City,QN66,Queens,413.0,26544,,,
10. East Concourse-Concourse Village,QN68,Queens,401.0,19228,,,
11. East Tremont,QN70,Queens,401.0,74767,,,
12. North Riverdale-Fieldston-Riverdale,QN71,Queens,401.0,24732,,,
13. Highbridge,QN72,Queens,401.0,48235,,,
14. Hunts Point,QN76,Queens,412.0,39203,,,
15. Van Cortlandt Village,QN98,Queens,483.0,159,,,
16. Spuyten Duyvil-Kingsbridge,QN99,Bronx,409.0,35560,,,
17. Kingsbridge Heights,BX01,Bronx,203.0,37887,,,
18. Allerton-Pelham Gardens,BX03,Bronx,212.0,57685,,,
19. Longwood,BX05,Bronx,207.0,29115,,,
20. Melrose South-Mott Haven North,BX06,Bronx,206.0,39423,,,
21. Morrisania-Melrose,BX07,Bronx,211.0,36014,,,
22. University Heights-Morris Heights,BX08,Bronx,209.0,54925,,,
23. Van Nest-Morris Park-Westchester Square,BX09,Bronx,209.0,26877,,,
24. Mott Haven-Port Morris,BX10,Bronx,210.0,47400,,,
25. Fordham South,BX13,Bronx,210.0,64850,,,
26. Mount Hope,BX14,Bronx,204.0,44057,,,
27. Norwood,BX17,Bronx,206.0,27551,,,
28. Williamsbridge-Olinville,BX22,Bronx,208.0,39140,,,
29. Parkchester,BX26,Bronx,204.0,26196,,,
30. Pelham Parkway,BX27,Bronx,202.0,50935,,,
31. Schuylerville-Throgs Neck-Edgewater Park,BX28,Bronx,208.0,31295,,,
32. Soundview-Bruckner,BX29,Bronx,208.0,32163,,,
33. Westchester-Unionport,BX30,Bronx,207.0,31993,,,
