,0
Estimate Total: White alone,739.0798816568048
Estimate Total: Black or African American alone,1415.5029585798816
Estimate Total: American Indian and Alaska Native alone,41.739644970414204
Estimate Total: Asian alone,164.2396449704142
Estimate Total: Native Hawaiian and Other Pacific Islander alone,5.106508875739645
Estimate Total: Some Other Race alone,1354.076923076923
Estimate Total: Two or More Races:,460.2751479289941
FSHRI,3.5357142857142856
FVI_storm_surge_present,2.28
FVI_storm_surge_2050s,2.6041666666666665
FVI_storm_surge_2080s,2.9565217391304346
FVI_tidal_2020s,3.6153846153846154
FVI_tidal_2050s,3.230769230769231
FVI_tidal_2080s,2.7058823529411766
