,0
Estimate Total: White alone,1455.3157415832575
Estimate Total: Black or African American alone,894.6683348498635
Estimate Total: American Indian and Alaska Native alone,23.909918107370338
Estimate Total: Asian alone,564.1969972702457
Estimate Total: Native Hawaiian and Other Pacific Islander alone,2.443130118289354
Estimate Total: Some Other Race alone,598.3685168334849
Estimate Total: Two or More Races:,346.0218380345769
FSHRI,3.001366120218579
FVI_storm_surge_present,2.9914285714285715
FVI_storm_surge_2050s,2.9960474308300395
FVI_storm_surge_2080s,2.9933444259567388
FVI_tidal_2020s,3.0588235294117645
FVI_tidal_2050s,3.064935064935065
FVI_tidal_2080s,3.0308641975308643
